product_id,product_title,rating,total_reviews,price,top_reviews
itmce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",4.6,"3,606","₹69,999","5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 7 months ago 1150 277 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 5 months ago 1261 368 Permalink Report Abuse"
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,"3,606","₹69,999","5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 7 months ago 1153 282 Permalink Report Abuse || 5 Wonderful such a beautiful color 🩷🥺😍 READ MORE Swagatika Hota Certified Buyer , Koraput 7 days ago 13 0 Permalink Report Abuse"
itm7e75db4f27bd5,"Apple iPhone 16 Pro Max (Black Titanium, 256 GB)",4.7,498,"₹1,34,999","5 Great product Best..!! READ MORE Jintu N Certified Buyer , Udalguri 9 months ago 209 76 Permalink Report Abuse || 5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 2367 1045 Permalink Report Abuse"
itmb102b8a51100e,"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)",4.7,498,"₹1,34,999","5 Great product Best..!! READ MORE Jintu N Certified Buyer , Udalguri 9 months ago 209 76 Permalink Report Abuse || 5 Excellent iPhone 16 Pro Max | Desert Titanium | So powerful like a mini supercomputer ❤️ READ MORE Saransh Goswami Certified Buyer , Noida 11 months ago 2367 1045 Permalink Report Abuse"
itmf98e89534d806,"Apple iPhone 17 (White, 256 GB)",4.7,65,"₹82,900","5 Fabulous! Amazing upgrade from 12 to 17 with 120hz display, 256 gb storage and new 18mp camera , better deal than iphone 16 pro READ MORE Abhishek Konepak Certified Buyer , Hyderabad 11 days ago 11 0 Permalink Report Abuse || 5 Brilliant Is good phone READ MORE ashok V S Certified Buyer , Bangalore 8 days ago 126 33 Permalink Report Abuse"
itmf37c8dffa4165,"Apple iPhone 17 (Lavender, 256 GB)",4.7,65,"₹82,900","5 Fabulous! Amazing upgrade from 12 to 17 with 120hz display, 256 gb storage and new 18mp camera , better deal than iphone 16 pro READ MORE Abhishek Konepak Certified Buyer , Hyderabad 11 days ago 11 0 Permalink Report Abuse || 5 Brilliant Is good phone READ MORE ashok V S Certified Buyer , Bangalore 8 days ago 126 33 Permalink Report Abuse"
itm8f6413060b707,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",4.6,"1,253","₹39,999","5 Perfect product! Mind Blowing phone go for it great performance camera is amazing you can look the shot with AI generation background was totally cleared from the crowd just go for it better than Iphone 15. READ MORE Lokesh Bisht Certified Buyer , Rudrapur Jan, 2024 1239 332 Permalink Report Abuse || 4 Pretty good Nice compact phone with great display and camera. Cons are heating and battery performance. READ MORE Ashish Dhiman Certified Buyer , Shimla Apr, 2024 849 210 Permalink Report Abuse"
itm3469a7107606f,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",4.6,"1,253","₹39,999","5 Perfect product! Mind Blowing phone go for it great performance camera is amazing you can look the shot with AI generation background was totally cleared from the crowd just go for it better than Iphone 15. READ MORE Lokesh Bisht Certified Buyer , Rudrapur Jan, 2024 1239 332 Permalink Report Abuse || 4 Pretty good Nice compact phone with great display and camera. Cons are heating and battery performance. READ MORE Ashish Dhiman Certified Buyer , Shimla Apr, 2024 849 210 Permalink Report Abuse"
itma68f59d496ec7,"REDMI A4 (Sparkle Purple, 128 GB)",4.3,12,"₹9,640","5 Classy product Nice super Heet Phone READ MORE Rojadin Certified Buyer , Siwan District 1 month ago 49 14 Permalink Report Abuse || 5 Perfect product! Very nice phone must buy READ MORE Flipkart Customer Certified Buyer , Barauni Ioc Township 17 days ago 4 0 Permalink Report Abuse"
itmede93b8d7b1a4,"REDMI 13 5G (Orchid Pink, 128 GB)",4.2,"2,328","₹12,500","4 Nice product Fabulous..... Byutiful 😍👌 READ MORE Rupesh Aherkar Certified Buyer , Pune District Aug, 2024 1585 594 Permalink Report Abuse || 5 Classy product Very nice 👍 READ MORE Vishnu  Vishwakarma Certified Buyer , Morbi 7 months ago 141 37 Permalink Report Abuse"
